,ingredient,class,reason,int_label,prompt
1115,"oil, vegetable, corn, cottonseed, palm",controversial,"These vegetable oils contain high levels of omega-6 fatty acids, which can be pro-inflammatory when consumed in excess. However, they also provide essential fatty acids and vitamin E. The impact on human health is debated among experts, with some recommending moderation and others suggesting alternative oils with better fatty acid profiles.",0,"Ingredient: oil, vegetable, corn, cottonseed, palm
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1116,"oil, vegetable, corn, cottonseed, partially hydrogenated soybean",harmful,"Partially hydrogenated oils, such as partially hydrogenated soybean oil, contain trans fats which have been linked to an increased risk of heart disease, stroke, and other health issues. Consumption of oils derived from corn and cottonseed can also be harmful due to their high content of inflammatory omega-6 fatty acids when consumed in excess.",1,"Ingredient: oil, vegetable, corn, cottonseed, partially hydrogenated soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1117,"oil, vegetable, corn, cottonseed, soybean",controversial,"These vegetable oils are controversial due to conflicting research on their health impacts. While they provide essential fatty acids, they are also high in omega-6 fats which, in excess, may promote inflammation and increase the risk of certain diseases. Moderation and balance in consumption are key.",0,"Ingredient: oil, vegetable, corn, cottonseed, soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1118,"oil, vegetable, corn, cottonseed, sunflower",controversial,"These vegetable oils are a source of unsaturated fats, which can be beneficial for heart health in moderate amounts. However, they can also be harmful when consumed excessively due to their high omega-6 fatty acid content, which may contribute to inflammation in the body. The refining process of these oils can also lead to the formation of harmful compounds. Therefore, the impact on human health is considered controversial and depends on the overall diet and consumption levels.",0,"Ingredient: oil, vegetable, corn, cottonseed, sunflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1119,"oil, vegetable, corn, palm",controversial,"The health impact of vegetable oils like corn and palm oil is controversial. While they are a source of unsaturated fats, they also contain high levels of omega-6 fatty acids which, when consumed in excess, can contribute to inflammation and other health issues. Additionally, the production of palm oil has negative environmental impacts.",0,"Ingredient: oil, vegetable, corn, palm
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1120,"oil, vegetable, corn, palm, soybean",controversial,"The health impact of vegetable oils like corn, palm, and soybean is a topic of debate among experts. While they provide essential fatty acids, they are also high in omega-6 fatty acids which, when consumed in excess, can promote inflammation. Additionally, palm oil production has been associated with environmental concerns and deforestation.",0,"Ingredient: oil, vegetable, corn, palm, soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1121,"oil, vegetable, cottonseed oil, partially hydrogenated soybean",harmful,"Partially hydrogenated soybean oil contains trans fats, which have been shown to be harmful to human health by increasing the risk of heart disease and other health problems. Cottonseed oil is also high in saturated fats, which can negatively impact cholesterol levels and contribute to heart disease.",1,"Ingredient: oil, vegetable, cottonseed oil, partially hydrogenated soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1122,"oil, vegetable, cottonseed, palm, palm kernel",controversial,"While vegetable oils like cottonseed, palm, and palm kernel oil contain unsaturated fats which can have health benefits, they are also high in saturated fats which can be harmful when consumed in excess. The controversy arises from the mixed evidence and varying opinions on their overall impact on human health.",0,"Ingredient: oil, vegetable, cottonseed, palm, palm kernel
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1123,"oil, vegetable, cottonseed, palm, rapeseed, sunflower",controversial,"The health impact of vegetable oils like cottonseed, palm, rapeseed, and sunflower is controversial. While they can be high in unsaturated fats and vitamin E, they also contain high levels of omega-6 fatty acids which, when consumed in excess, may promote inflammation in the body. The refining process of these oils can also lead to the formation of harmful compounds. Overall, moderation and choosing unrefined versions may be more beneficial.",0,"Ingredient: oil, vegetable, cottonseed, palm, rapeseed, sunflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1124,"oil, vegetable, fractionated coconut, fractionated palm kernel",harmful,"Fractionated coconut oil and fractionated palm kernel oil are high in saturated fats, which have been linked to an increased risk of heart disease and other health issues when consumed in excess. Consuming a diet high in saturated fats can lead to elevated levels of LDL cholesterol in the blood, which is a risk factor for cardiovascular diseases.",1,"Ingredient: oil, vegetable, fractionated coconut, fractionated palm kernel
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1125,"oil, vegetable, fractionated palm kernel, hydrogenated palm",harmful,"Hydrogenated palm oil contains trans fats, which have been linked to an increased risk of heart disease, stroke, and other health issues.",1,"Ingredient: oil, vegetable, fractionated palm kernel, hydrogenated palm
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
